ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
4623,모델과 잘 어울린다,모델,호감도 높음,모델|어울림,,
4624,따뜻해보인다,감성 소구,따뜻함,따뜻함,,
4625,보통의 패딩 그보다 더,광고 전반,평범함,,보통|패딩,
4626,아이더와 어울리는 배경과 음악,비주얼,전체적 분위기,배경|음악,,
4627,모델이 마음에 든다,모델,호감도 높음,모델,,
4628,제품과 계절이 잘 어울리게끔 설명했다,광고 구성,긍정적 평가,제품|계절|설명,,
4629,그보다 더,없음/모름,,,,
4630,옷이 따뜻한 원리를 알려줘서 좋았고 광고 모델이 매우 아름다운데 옷까지 예뻐서 더 아름다워 보인다,감성 소구,따뜻함,따뜻한 원리|광고 모델|아름다움|옷,,
4631,카피가 좋다,메시지/카피,긍정적 평가,카피,,
4632,평범했다,광고 전반,평범함,,평범,
4633,아이돌이 인상적이다,모델,호감도 높음,아이돌|인상적,,
4634,특징이 없다,광고 전반,평범함,없음,특징,
4635,보통의 패팅보다 더 좋다는 것을 강조해서,기능성 강조,긍정적 평가,패팅|강조,,
4636,굉고장면 음악,음악/사운드,긍정적 평가,광고장면|음악,,
4637,모름,Not enough data,Not enough data,,,
4638,광고가 보통이다,전반적 평가,중립적,,보통,
4639,제품 특성을 잘 표현하고 간결하다,광고 구성,긍정적 평가,간결함|제품 특성,,
4640,보통의 패딩 그보다 더,전반적 평가,중립적,,보통|패딩,
4641,산뜻한 느낌,광고 전반,신선함,산뜻함,,
4642,보통의 패딩,전반적 평가,중립적,,보통,
4643,이유 없음,없음/모름,,,,
4644,배경,Not enough data,Not enough data,,,
4645,잘 모르겠다,없음/모름,,,,
4646,그냥 그렇다.,전반적 평가,중립적,,,
4647,모델이 잘 어울리지 않는 것 같다,모델,호감도 낮음,,모델|부적합성,
4648,좋아보임,전반적 평가,긍정적,좋아보임,,
4649,모델과 브랜드가 잘 어울립니다.,모델,호감도 높음,모델|브랜드 어울림,,
4650,이유 없음,없음/모름,,,,
4651,두겹이 왠지 반환경적,제품/브랜드,부정적 평가,,두겹|반환경적,
4652,평범하게 느껴짐,광고 전반,평범함,,평범,
4653,이해가 잘안가서,메시지/카피,이해도 낮음,,이해 부족,
4654,이유 없음,없음/모름,,,,
4655,구스를 이용해서 싫다. 전체적인 앞 뒤 등 디자인을 확인하기 어려워서 싫다. 과장되어 보여서 싫다.,광고 전반,부정적,구스|디자인,과장,
4656,북유럽느낌이 나서 컨셉이 좋다.,광고 전반,신선함,북유럽 느낌|컨셉,,
4657,광고의 카피가 좋다,메시지/카피,긍정적 평가,카피,,
4658,아이더 제품이 맘에 든다,제품/브랜드,긍정적 평가,제품|아이더,,
4659,비슷비슷한 느낌,광고 전반,평범함,,비슷한 느낌,
4660,모델이 예쁘다,모델,호감도 높음,예쁨,,
4661,모델이 너무 좋다. 아이더에 호감이 간다,모델,호감도 높음,모델|아이더,,
4662,광고의 배경이 브랜드 이미지와 잘 맞는 것 같고 광고모델의 브랜드 이미지가 좋다,비주얼,배경,배경|브랜드 이미지,,
4663,광고 배경이 맘에 듦,시각적 요소,배경,배경,,
4664,광고가 부드러워요,감성 소구,긍정적,부드러움,,
4665,배경이 좋다,비주얼,배경,배경,,
4666,호감이 가질 않아서,전반적 평가,부정적,없음,호감,
4667,잘 모르겠다,없음/모름,,,,
4668,옷의 내부를 보여줄 때는 흥미로웠는데 갑자기 갸륵갸륵한 모델 표정 보고 정말 깼음 한 겨울에도 살색 스타킹 신고 공항 사진 찍힐 것 같은 포즈는 너무나 아이러니하고 거슬림,광고 구성,부정적 평가,옷의 내부|흥미,갸륵갸륵한 모델 표정|살색 스타킹|포즈,
4669,모델,Not enough data,Not enough data,,,
4670,패딩의 기능성을 강조하고 있다,기능성 강조,긍정적 평가,기능성|패딩,,
4671,보온성을 강조,기능성 강조,긍정적 평가,보온성,,
4672,호감이 간다,감성 소구,긍정적,호감,,
4673,모델이 마음에 든다,모델,호감도 높음,모델,,
4674,장점이 확 와닿지 않아서,광고 전반,기억에 남지 않음,,장점,
4675,제품이 잘 보이지 않음,제품/브랜드,부정적 평가,제품,가시성,
4676,모델이 마음에 든다,모델,호감도 높음,모델,,
4677,모델이 예쁘고 제품 이해가 잘 된다,모델,호감도 높음,모델|제품,,
4678,광고 카피 적절한 조화를 이루었으면 함,메시지/카피,부정적 평가,,적절한 조화,
4679,추워보인다,비주얼,전체적 분위기,,추위,
4680,분위기가 편안하고 부드럽다,감성 소구,긍정적,분위기|편안함|부드러움,,
4681,모델이 상큼하고 기능적인 면을 부각시켜서,모델,호감도 높음,상큼함|기능성,,
4682,광고모델이 마음에 듬,모델,호감도 높음,광고모델,,
4683,모델이랑 브랜드 이미지랑 잘어울린다,모델,호감도 높음,모델|브랜드 이미지|어울림,,
4684,장원영밖에 안보여요,모델,호감도 높음,장원영,,
4685,젊은느낌의 아웃도어라서,타겟 적합성,젊은층 타겟,젊은느낌|아웃도어,,
4686,패딩은 역시 아이더 배경이 너무 좋아요.,비주얼,배경,패딩|아이더|배경,,
4687,배경과 광고 장면이 잘어울린다,비주얼,전체적 분위기,배경|광고 장면|어울림,,
4688,학생들을 겨냥해서 장원영을 모델로 쓴건 잘한 것 같다 따뜻하고 여성스러움을 잘 표현했다,모델,호감도 높음,장원영|학생|여성스러움,,
4689,모델이 안어울린다,모델,호감도 낮음,,모델|어울림,
4690,잘모르겠다,없음/모름,,,,
4691,광고모델이 참신해서,모델,호감도 높음,참신함,,
4692,마음에 든다,감성 소구,긍정적,마음,,
4693,분위기와 감성이 잘 맞아 떨어진다,감성 소구,긍정적,분위기|감성,,
4694,모델이 마음에 든다,모델,호감도 높음,모델,,
4695,특별하지않다,광고 전반,평범함,없음,특별함,
4696,장원영 미쳤음 지금 한국 최고존엄,모델,호감도 높음,장원영|최고존엄,,
4697,추운 분위기와 옷의 따뜻함이 조화롭고 전체적인 톤이 예쁘다,감성 소구,따뜻함,분위기|조화|톤,,
4698,여자모델 얼굴만 기억 난다.,광고 임팩트,강한 임팩트,여자모델|얼굴,,
4699,아이더,Not enough data,Not enough data,,,
4700,예뻐요,Not enough data,Not enough data,,,
4701,키포인트가 뭔지 모른다.,메시지/카피,이해도 낮음,,키포인트,
4702,모델,Not enough data,Not enough data,,,
4703,모델이 싼티난다,모델,호감도 낮음,없음,싼티,
4704,차별화가 많이 느껴지지는 않아서,독창성,낮음,없음,차별화 부족,
4705,그냥 보통임,전반적 평가,중립적,,보통,
4706,친근해서,감성 소구,긍정적,친근함,,
4707,아이더,Not enough data,Not enough data,,,
4708,보온의 기능성에 방풍까지 더한 것을 이미지로 잘 표현했다,기능성 강조,긍정적 평가,보온성|방풍성|이미지 표현,,
4709,한번더 온기를 가둔다는 것,메시지/카피,이해도 높음,온기|가둠,,
4710,광고 색감,시각적 요소,색감,색감,,
4711,모델이 맘에 들어서,모델,호감도 높음,모델,,
4712,목소리가 이뻐요. 보통의 패딩보다 추위를 더 잘 막을 수 있는 이유도 알려주고 정말 더 따뜻할 거 같아요.,감성 소구,따뜻함,목소리|보온성|따뜻함,,
4713,모름,Not enough data,Not enough data,,,
4714,이이더와 장원영이 만나서 저렴한 느낌임,모델,호감도 낮음,이이더|장원영,저렴한 느낌,
4715,어울리지 않음,모델,호감도 낮음,,어울림,
4716,스테롤다운,없음/모름,,,,
4717,모델,Not enough data,Not enough data,,,
4718,모델이 마음에 안들어서,모델,호감도 낮음,,모델,
4719,신선하다,광고 전반,신선함,신선함,,
4720,네파의 안유진 광고와 비슷하거나 동일 광고처럼 착각이 든다,광고 전반,평범함,없음,착각|유사성,
4721,윈드스토어,제품/브랜드,브랜드 이미지,윈드스토어,,
4722,모델이 좋다,모델,호감도 높음,모델,,
4723,제품의 기능성이 부각된 것도 모델이 새로운 것도 아니어서,광고 전반,평범함,모델|기능성,제품|기능성,
4724,모델광고인 것 같다,모델,긍정적 평가,모델,,
4725,모델과 광고내용이 잘 어울림,모델,호감도 높음,모델|광고내용|어울림,,
4726,평범하다,광고 전반,평범함,,평범함,
4727,장원영,Not enough data,Not enough data,,,
4728,하얀 눈과 하얀 패딩이 잘 어울린다 장원영 모델 아이더,비주얼,색감,하얀 눈|하얀 패딩|어울림,,
4729,광고 구성이 전반적으로 좋아 보여서,광고 구성,긍정적 평가,광고 구성,,
4730,브랜드가 매력적이지 않다,제품/브랜드,부정적 평가,,매력,
4731,이해하기 쉽다,메시지/카피,이해도 높음,이해,,
4732,기능,Not enough data,Not enough data,,,
4733,음악과 캐릭터가 좋다,음악/사운드,긍정적 평가,음악|캐릭터,,
4734,배경,Not enough data,Not enough data,,,
4735,기존 제품들과 큰 차이가 없어 보임. 개인적으로 모델이 마음에 안 듦,광고 전반,평범함,,제품|차이,
4736,보통의 패딩 그보다,전반적 평가,중립적,,보통,
4737,목소리,Not enough data,Not enough data,,,
4738,나에게 맞는 것 같다,타겟 적합성,긍정적,적합성,,
4739,목소리가 별로 안와닿음,음악/사운드,부정적 평가,,목소리,
4740,모델,Not enough data,Not enough data,,,
4741,보통의 패딩 그보다 더라는 카피가 마음에 들어서,메시지/카피,긍정적 평가,카피|마음,,
4742,다 비슷한 광고 느낌,광고 전반,평범함,없음,비슷한 광고,
4743,모델이 눈길을 끈다,모델,호감도 높음,모델|눈길,,
4744,구스다운,제품/브랜드,기능성 강조,구스다운,,
4745,패딩의 핵심기능을 잘표현했고 이해하기쉬웠다,기능성 강조,긍정적 평가,핵심기능|이해도,,
4746,겨울에 따뜻하게 입을 수 있어서,기능성 강조,보온성,따뜻함,,
4747,색상이 화사하고 좋다,시각적 요소,색감,화사함|색상,,
4748,겨울에 어울리는 배경 색상.,비주얼,색감,겨울|배경|색상,,
4749,배경,Not enough data,Not enough data,,,
4750,장원영이 예쁘다,모델,호감도 높음,장원영|예쁨,,
4751,촬영지,Not enough data,Not enough data,,,
4752,덤덤함,Not enough data,Not enough data,,,
4753,제품과 배경이 어울립니다.,시각적 요소,긍정적 평가,제품|배경,,
4754,제품의 특징을 명확히 전달하고 모델 매치가 좋다,메시지/카피,긍정적 평가,제품 특징|모델 매치,,
4755,이유 없음,없음/모름,,,,
4756,이유 없음,없음/모름,,,,
4757,새로울 것이 없는 평범한 광고,광고 전반,평범함,없음,평범한 광고|새로울 것 없음,
4758,특이점이 없음,광고 전반,평범함,없음,특이점,
4759,평범한 아우터 광고.,광고 전반,평범함,없음,평범한 아우터,
4760,아이더 그보다 더,메시지/카피,이해도 낮음,,이해도 부족,
4761,특별함이 없다,광고 전반,평범함,없음,특별함,
4762,호감이 간다,감성 소구,긍정적,호감,,
4763,타 광고와 비슷,광고 전반,평범함,없음,타 광고|유사성,
4764,새롭지 않다,창의성,부정적,,새롭지 않음,
4765,특별하게 와 닿지 않음,광고 전반,기억에 남지 않음,,특별함 부재,
4766,짧은 광고시간 내에도 꼭 하고 싶은 말은 다 전달하는 것 같아요. 왠지 믿음도 가고요,광고 구성,긍정적 평가,전달력|믿음,,
4767,보온성을 느껴진다,기능성 강조,보온성,보온성,,
4768,배경이나 음악은 좋으네요 나머지는 잘 모르겠네요,광고 전반,평범함,배경|음악,,
4769,사람을 기분 좋게 한다.,감성 소구,긍정적,기분,,
4770,아이더 브랜드 좋아요,제품/브랜드,긍정적 평가,아이더|브랜드,,
4771,제품에 대한 설명이 잘 되어 있음,메시지/카피,이해도 높음,제품 설명,,
4772,장원영 눈쌓인 지붕들,비주얼,배경,장원영|눈쌓인 지붕들,,
4773,흰 배경,비주얼,배경,,,
4774,딱히 새로울 게 없다,광고 전반,평범함,없음,새로움 부족,
4775,디자인이 좋은 제품의 이미지가 잘 표현됨,제품/브랜드,긍정적 평가,디자인|제품 이미지,,
4776,귀엽고 사랑스러움,감성 소구,긍정적,귀여움|사랑스러움,,
4777,장원영이 나와서 젊은 느낌은 드는데 모델만 바뀌었을 뿐 다른 건 다 기존의 광고와 너무 비슷하다,광고 전반,평범함,장원영,기존 광고,
4778,시선을 끌만한 요소가 없다,광고 임팩트,약한 임팩트,없음,시선|요소,
4779,이유 없음,없음/모름,,,,
4780,보통의 패딩 아이더,광고 전반,평범함,,패딩|아이더,
4781,평범함,Not enough data,Not enough data,,,
4782,문구가 마음에 든다,메시지/카피,긍정적 평가,문구,,
4783,패딩의 기능이 잘 설명되어있다,기능성 강조,긍정적 평가,기능|설명,,
4784,하얀색,Not enough data,Not enough data,,,
4785,비슷비슷하다.,광고 전반,평범함,,비슷함,
4786,모델이 낯설고 브랜드와 어울리지 않음,모델,호감도 낮음,없음,낯선 모델|브랜드 부조화,
4787,딱히 패딩이 예쁘지도 않고 따뜻해보이지도 않음,제품/브랜드,부정적 평가,,패딩|예쁨|따뜻함,
4788,전체적으로 모델의 연기가 어색하고 브랜드의 이미지와 전혀 맞지 않으며 제품보다 모델을 광고하려는 것 같다,광고 구성,부정적 평가,,모델 연기|브랜드 이미지|제품,
4789,모델이 아웃도어 이미지가 아니다,모델,호감도 낮음,없음,아웃도어 이미지,
4790,아이더가 장원영에 가려집니다. 그냥 트렌디해보여서 그리 주목을 끌지는 못하네요,광고 임팩트,약한 임팩트,장원영,아이더|트렌디,
4791,이유 없음,없음/모름,,,,
4792,추위를 녹여 즐 것 같다,감성 소구,따뜻함,추위|즐거움,없음,
4793,광고모델이 너무 잘어울린다,모델,호감도 높음,광고모델|어울림,,
4794,이유 없음,없음/모름,,,,
4795,광고모델만 앞세워 내용이 잘 모르겠다. 그렇다고 광고모델이 잘 어울리지도 않는다.,광고 구성,부정적 평가,광고모델,내용|광고모델,
4796,소재의 2중 단열 원리가 나와서 눈길이 갔다.,기능성 강조,긍정적 평가,소재|2중 단열 원리|눈길,,
4797,아웃도어가 아닌 여성복 느낌,광고 전반,평범함,없음,여성복,
4798,아이더,Not enough data,Not enough data,,,
4799,잘모르겠다,없음/모름,,,,
4800,잘 모르겠다,없음/모름,,,,
4801,아이더 롱패딩,제품/브랜드,긍정적 평가,롱패딩,,
4802,장원영 보통의 패딩 그보다 더한,모델,호감도 높음,장원영,보통,
4803,그냥 느낌이 그래서,없음/모름,,그냥|느낌,,
4804,아이더 다운,제품/브랜드,브랜드 이미지,아이더|다운,,
4805,아이더의 눈길이 가는 문구,메시지/카피,긍정적 평가,눈길|문구,,
4806,별느낌 없음,전반적 평가,부정적,없음,별느낌,
4807,뭐 딱히 마음에 들거나 안 들거나 하는 게 없다,전반적 평가,중립적,,,
4808,모델이 좋다,모델,호감도 높음,모델,,
4809,이유 없음,없음/모름,,,,
4810,제품의 특징이 보인다,제품/브랜드,기능성 강조,특징,,
4811,옷의 장점을 잘 설명했다,기능성 강조,긍정적 평가,장점|설명,,
4812,모델이 마음에 든다,모델,호감도 높음,모델,,
4813,광고 속 의상이나 문구보다 모델의 말투나 표정에 포커스가 맞춰진 느낌이 들고 아웃도어 CF와 잘 어울리지 않는 것 같습니다,광고 구성,부정적 평가,모델,의상|문구|아웃도어 CF,
4814,구스에 더하다,메시지/카피,독창성,구스|더하다,,
4815,제품 설명이 다른 제품과의 차별적인 부분을 언급해서 좋다,메시지/카피,긍정적 평가,제품 설명|차별성,,
4816,그냥 아웃도어제품 광고같다,광고 전반,평범함,,아웃도어제품 광고,
4817,모델 싫음,모델,호감도 낮음,없음,모델,
4818,배경이 좋다,비주얼,배경,배경,,
4819,패딩이 따뜻할 것 같아서,감성 소구,따뜻함,패딩|따뜻함,,
4820,전체적으로 따스한 느낌의 광고,감성 소구,따뜻함,따스한 느낌,,
4821,모델이 참신하다,모델,호감도 높음,참신함,,
4822,정보를 준다,메시지/카피,이해도 높음,정보,,
4823,마음에 들어서,감성 소구,긍정적,마음,,
4824,디자인이 마음에 든다.,제품/브랜드,디자인,디자인,,
4825,더 따뜻하게 하기 위해 구스의 설명이 좋아요,기능성 강조,긍정적 평가,구스|설명,,
4826,광고배경,시각적 요소,배경,,,
4827,분위기,Not enough data,Not enough data,,,
4828,문구나 카피,메시지/카피,이해도 낮음,,문구|카피,
4829,밋밋하다,시각적 요소,부정적 평가,,밋밋함,
4830,원영,Not enough data,Not enough data,,,
4831,전속 모델 장원영 만족한다,모델,호감도 높음,전속 모델|장원영|만족,,
4832,제품의 기능을 CG를 활용하여 세부적으로 표현한 점이 인상적이며 모델 장원영이 마음에 들기 때문이다.,광고 구성,긍정적 평가,CG|모델 장원영,,
4833,광고내용,없음/모름,,광고내용,,
4834,분위기,Not enough data,Not enough data,,,
4835,롱패딩에 관심이 없어서,구매 의도,부정적,없음,관심 없음|롱패딩,
4836,모델이 너무 예쁜척을 함,모델,호감도 낮음,없음,예쁜척,
4837,모델의 이미지,모델,호감도 높음,,이미지,
4838,모델 장원영,모델,호감도 높음,장원영,,
4839,배경,Not enough data,Not enough data,,,
4840,연예인 겨울 분위기가 좋다,모델,호감도 높음,연예인|겨울 분위기,,
4841,상품의 장점을 잘 살려서,광고 구성,긍정적 평가,장점,,
4842,차별점이 없다,광고 전반,평범함,없음,차별점,
4843,모델이 너무 재수없다,모델,호감도 낮음,,모델|재수없음,
4844,이유 없음,없음/모름,,,,
4845,제품에 대한 소개가 직관적임,메시지/카피,이해도 높음,직관성|소개,,
4846,제품 소재를 잘 설명해 줌,기능성 강조,긍정적 평가,소재|설명,,
4847,장원영,Not enough data,Not enough data,,,
4848,모델이 새롭고 옷이 예뻐요,모델,호감도 높음,모델|새로움|옷|예쁨,,
4849,추위에는 선택,감성 소구,따뜻함,추위,,
4850,따뜻한 옷,감성 소구,따뜻함,따뜻한 옷,,
4851,설명이 자세하다,메시지/카피,이해도 높음,설명,,
4852,유명 광고 모델,모델,인지도,유명 모델,,
4853,별로 좋아하지 않는 브랜드입니다.,제품/브랜드,부정적 평가,,브랜드,
4854,모델이 마음에 든다,모델,호감도 높음,모델,,
4855,광고가 기존 광고와 비슷,광고 전반,평범함,없음,기존 광고|유사성,
4856,그냥 그렇다.,전반적 평가,중립적,,그냥,
4857,구스다운,제품/브랜드,기능성 강조,구스다운,,
4858,제품의 재료적인 설명은 좋은데.,제품/브랜드,기능성 강조,재료 설명,,
4859,멋지다,Not enough data,Not enough data,,,
4860,딱히 인상깊은건 없지만 나쁘지 않아서,전반적 평가,중립적,,인상깊음|나쁘지 않음,
4861,보온효과를 말한 장면이 인상적이어서,기능성 강조,긍정적 평가,보온효과|인상적,,
4862,따뜻할 것 같다,감성 소구,따뜻함,따뜻함,,
4863,보통의 패딩 그보다 더 문구에 대한 영상과 함께라 이해가 쉬웠다,메시지/카피,이해도 높음,이해|영상,,
4864,윈더스태핑을 더하다,메시지/카피,독창성,,,
4865,모델 장원영,모델,긍정적 평가,장원영,,
4866,광고모델이 광고하고자 하는 패딩과 잘 어울려서 구매욕구를 자극함,모델,호감도 높음,광고모델|패딩|어울림|구매욕구,,
4867,모델,Not enough data,Not enough data,,,
4868,기능성이 뛰어나고 따뜻할 것 같아서,기능성 강조,보온성,기능성|따뜻함,,
4869,장원영 슬림한 패딩,모델,호감도 높음,장원영|슬림한 패딩,,
4870,모델이 어울리지 않는다,모델,호감도 낮음,,모델|부적합성,
4871,배경,Not enough data,Not enough data,,,
4872,광고가 눈에 띈다,광고 임팩트,강한 임팩트,눈에 띔,,
4873,모델이 예쁘다,모델,호감도 높음,예쁨,,
4874,차별성 없음,광고 전반,평범함,없음,차별성,
4875,배경이 아름답고 마음에 듦,시각적 요소,긍정적 평가,배경|아름다움,,
4876,광고장면 인상적이고 모델과 잘 어울린다,광고 전반,신선함,광고장면|모델,,
4877,잘 모르겠다,없음/모름,,,,
4878,배경이 좋음,비주얼,배경,배경,,
4879,광고장면과 모델이 마음에 든다,모델,호감도 높음,광고장면|모델,,
4880,온화한 이미지가 좋아보인다,감성 소구,긍정적,온화한 이미지,,
4881,광고 모델 활용이 적고 그저 소재나 기능면으로만 부각시킨다. 기능을 부각시키는 건 흥미를 끈 뒤에 제품 상세페이지에서 확인해도 충분하다.,광고 구성,부정적 평가,모델|기능,소재|기능,
4882,배경,Not enough data,Not enough data,,,
4883,신선하다,광고 전반,신선함,신선함,,
4884,따뜻함,Not enough data,Not enough data,,,
4885,모델,Not enough data,Not enough data,,,
4886,모델이 좋다,모델,호감도 높음,모델,,
4887,예쁜 모델과 배경이 잘 어우러진다,모델,호감도 높음,예쁜 모델|배경,,
4888,차별적이지 않다,독창성,낮음,,차별성 부족,
4889,장원영 별로 안 좋아해서,모델,호감도 낮음,,장원영,
4890,특별한 이미지가 뜨오르지않음,광고 전반,기억에 남지 않음,,특별한 이미지|기억,
4891,내용,Not enough data,Not enough data,,,
4892,더~ 아이더,메시지/카피,독창성,아이더,없음,
4893,옷이 따뜻해보인다,감성 소구,따뜻함,따뜻함,,
4894,전달하려는 바가 확실하다,메시지/카피,이해도 높음,전달력|명확성,,
4895,장원영 너무 예쁨,모델,호감도 높음,장원영|예쁨,,
4896,보통 패딩,전반적 평가,중립적,,보통,
4897,평범하다,광고 전반,평범함,,평범함,
4898,겨울 배경과 광고모델이 너무 잘 어울림,비주얼,전체적 분위기,겨울 배경|광고모델|어울림,,
4899,밋밋한 광고,광고 전반,평범함,없음,밋밋함,
4900,보통,Not enough data,Not enough data,,,
4901,분위기,Not enough data,Not enough data,,,
4902,구스패딩을 잘 설명해 주어서,메시지/카피,이해도 높음,구스패딩|설명,,
4903,그저 그렇다.,전반적 평가,중립적,,그저 그렇다,
4904,광고의 모델이 마음에 들지 않는다.,모델,호감도 낮음,,모델,
4905,모델,Not enough data,Not enough data,,,
4906,모델의 신뢰성이 별로 없고 예쁜척하다 끝나는 느낌,모델,호감도 낮음,없음,신뢰성|예쁜척,
4907,처음 봤음,없음/모름,,,,
4908,제품 설명 후 바로 밝은 분위기의 모델과 광고톤이 잘 어울림,광고 구성,긍정적 평가,제품 설명|밝은 분위기|모델|광고톤|어울림,,
4909,장원영,Not enough data,Not enough data,,,
4910,장원영 목소리가 조곤조곤해서 그런지 왠지 따뜻한 느낌을 줘서 진짜 엄청 따뜻할 것 같음. 또 카피에 공감이 가서 정말 저 패딩은 기존 패딩과 다르게 엄청 따뜻한가 하는 이미지를 주는 것 같음,감성 소구,따뜻함,장원영 목소리|조곤조곤|따뜻한 느낌|진짜 엄청 따뜻할 것 같음|공감,,
4911,멋지다,Not enough data,Not enough data,,,
4912,모름,Not enough data,Not enough data,,,
4913,아이더 패딩 보온성,기능성 강조,보온성,보온성,,
4914,일반적이다,광고 전반,평범함,,일반적,
4915,모델과 영상이 잘 어울림,모델,호감도 높음,모델|영상,,
4916,음악과 배경이 서로 잘 어울리고 모델이 입은 제품과 잘 어울림,광고 구성,긍정적 평가,음악|배경|모델|제품,,
4917,장원영,Not enough data,Not enough data,,,
4918,장원영,Not enough data,Not enough data,,,
4919,모델,Not enough data,Not enough data,,,
4920,모델,Not enough data,Not enough data,,,
4921,광고모델이 예쁘고 광고컨셉이 마음에 들어서,모델,호감도 높음,광고모델|광고컨셉,,
4922,참신하지 않아서 그리고 패딩자체가 내 스타일이 아니다,창의성,부정적,없음,참신하지 않음|스타일 부적합,
4923,평범하다,광고 전반,평범함,,평범함,
4924,설명이 이해하기 쉽다,메시지/카피,이해도 높음,설명|이해,,
4925,따뜻해보인다,감성 소구,따뜻함,따뜻함,,
4926,구스패딩이 좋아보인다,제품/브랜드,긍정적 평가,구스패딩,,
4927,그보다 더.,없음/모름,,그보다 더,,
4928,모델이 의상과 잘 어울린다,모델,호감도 높음,모델|의상,,
4929,다른 제품 광고와 별반 다를게 없다,광고 전반,평범함,없음,차별성 부족,
4930,패딩 기능을 정확하게 설명한다,기능성 강조,긍정적 평가,기능|설명,,
4931,보통의 패딩,광고 전반,평범함,패딩,,
4932,딱히 좋은 점도 나쁜 점도 없으므로,전반적 평가,중립적,,,
4933,기억에 남는다,광고 임팩트,강한 임팩트,기억,,
4934,2중으로 보온되는 기술이 좋아 보여서,기능성 강조,긍정적 평가,보온 기술|2중 보온,,
4935,브랜드 이미지랑 모델이랑 잘 어울린다,모델,호감도 높음,브랜드 이미지|모델,,
4936,극대한 패딩,제품/브랜드,기능성 강조,패딩,,
4937,제품이 맘에 들어서,제품/브랜드,긍정적 평가,제품,,
4938,배우가 이쁘네요,모델,호감도 높음,배우|이쁨,,
4939,광고의 끝 부분에 브랜드명을 강조해서 마무리 하는게 마음에 들고 좋은 것 같습니다.,광고 구성,긍정적 평가,브랜드명 강조|마무리,,
4940,기능성을 잘 표현한것 같아서,기능성 강조,긍정적 평가,기능성|표현,,
4941,장원영이 너무 예쁜 척을 함,모델,호감도 낮음,,예쁜 척,
4942,좋지도 나쁘지도 않아서,전반적 평가,중립적,,,
4943,보통이라서,전반적 평가,중립적,,보통,
4944,젊음,Not enough data,Not enough data,,,
4945,아무생각이 안듦,없음/모름,,,,
4946,제품의 특징이 잘 살아있다,제품/브랜드,기능성 강조,특징,,
4947,기억에 크게 남지는 않아서,광고 전반,기억에 남지 않음,,기억,
4948,모델,Not enough data,Not enough data,,,
4949,모름,Not enough data,Not enough data,,,
4950,아이더,Not enough data,Not enough data,,,
4951,광고가 썩 기억에 남지는 않는다,광고 전반,기억에 남지 않음,,기억에 남지 않음,
4952,기억에 남지 않는다,광고 전반,기억에 남지 않음,,기억,
4953,상품 기능과 모델과의 매치가 시선을 끈다,광고 임팩트,강한 임팩트,시선|매치,,
4954,옷에 대해 설명이 적절하다,메시지/카피,이해도 높음,설명,,
4955,특별하지 않아요,광고 전반,평범함,없음,특별함,
4956,타 광고와 별로 달라 보이지 않아서,광고 전반,평범함,없음,타 광고|차별성 부족,
4957,따뜻해 보임,감성 소구,따뜻함,따뜻함,,
4958,따뜻할 것 같다,감성 소구,따뜻함,따뜻함,,
4959,광고모델과 잘 어울린다,모델,호감도 높음,모델|어울림,,
4960,상품 특성이 잘 드러났다,제품/브랜드,기능성 강조,상품 특성,,
4961,패딩에 대해 잘 보여줘서 좋다,광고 구성,긍정적 평가,패딩,,
4962,그냥 그렇다.,전반적 평가,중립적,,,
4963,모델이 너무 예쁘다,모델,호감도 높음,예쁨,,
4964,브랜드와 맞는 배경 및 분위기,비주얼,전체적 분위기,배경|분위기|브랜드,,
4965,모델과 옷 디자인,모델,호감도 높음,모델|옷 디자인,,
4966,나쁘지도 좋지도 않음. 그럭저럭.,전반적 평가,중립적,,그럭저럭,
4967,제품의 특징이 잘 나타나 있어서,제품/브랜드,기능성 강조,제품 특징,,
4968,무슨 내용인지 모르겠다,없음/모름,,,내용 이해 불가,
4969,배경이 좋음,비주얼,배경,배경,,
4970,보통의 패딩 그 보다 더 아이더,광고 전반,평범함,아이더,보통|패딩,
4971,보통의 패딩 그보다 더 아이더,광고 전반,평범함,아이더,패딩,
4972,믿음이 간다,신뢰성,긍정적 평가,믿음,,
4973,예쁨,Not enough data,Not enough data,,,
4974,평범함,Not enough data,Not enough data,,,
4975,배경,Not enough data,Not enough data,,,
4976,평범한 느낌을 준다.,광고 전반,평범함,,평범한 느낌,
4977,모델도 눈에 띄고 방한성이 우수해보인다.,광고 전반,신선함,모델|방한성,,
4978,그냥 보통 광고이다,전반적 평가,중립적,,보통,
4979,배경,Not enough data,Not enough data,,,
4980,롱패딩이 어울리지않는다,제품/브랜드,부정적 평가,,롱패딩|어울리지 않음,
4981,그냥 보통의 패딩,광고 전반,평범함,,보통|패딩,
4982,그냥 특별하지 않아서,광고 전반,평범함,,특별하지 않음,
4983,내용에 공감이 가고 모델이 광고와 어울려서,메시지/카피,공감도 높음,공감|어울림,,
4984,그냥 패딩 광고 느낌이다.,광고 전반,평범함,없음,패딩 광고,
4985,기능을 잘 설명하고 있다,기능성 강조,긍정적 평가,기능|설명,,
4986,눈이 오는 배경과 모델이 잘 어울려서,시각적 요소,긍정적 평가,배경|모델,,
